"filename", "language", "Properties", "JSON", "JavaScript", "SCSS", "XML", "TypeScript", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\convention.service.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 13, 69
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 9, 1, 21
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 2, 5, 25
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\home\home.module.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 15, 1, 1, 17
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 9, 76
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.module.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\login\login.service.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 11, 61
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\character.model.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 22, 2, 30
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\convention.model.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\kalethaner.model.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\member.model.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\message.model.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\models\user.model.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\services\user.service.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 11, 9, 1, 21
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings.component.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 2, 5, 25
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\settings\settings.module.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user.component.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 6, 6, 28
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\user\user.module.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 3, 7
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\package.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tsconfig.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 12, 0, 28
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tsconfig.tns.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tsfmt.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\tslint.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 54, 0, 59
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\webpack.config.js", "JavaScript", 0, 0, 244, 0, 0, 0, 0, 0, 62, 14, 320
"Total", "-", 12, 8018, 244, 271, 134, 1132, 60, 280, 233, 361, 10745
